,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
55,@FoxNews,0.4404,0.0,0.873,0.127,"Brett Kavanaugh on his mother's influence: ""She taught me that good judges must always stand in the shoes of others… https://t.co/gdvNQnfXuX",Tue Sep 04 20:52:00 +0000 2018,56
56,@FoxNews,0.0,0.0,1.0,0.0,"Brett Kavanaugh: ""For 12 years I've been a judge on the U.S. Court of Appeals for the D.C. circuit. I have written… https://t.co/WSqznEDYIj",Tue Sep 04 20:50:35 +0000 2018,57
57,@FoxNews,0.6908,0.0,0.737,0.263,"Brett Kavanaugh: ""I thank President @realDonaldTrump for the honor of this nomination. As a judge and as a citizen,… https://t.co/gujVHKsAf3",Tue Sep 04 20:44:53 +0000 2018,58
58,@FoxNews,0.0,0.0,1.0,0.0,@senrobportman during Kavanaugh hearing: “I know these are partisan times here in Washington. But this is an extrao… https://t.co/USHO9FQyNw,Tue Sep 04 20:39:18 +0000 2018,59
59,@FoxNews,0.0,0.0,1.0,0.0,Judge Brett Kavanaugh delivers his opening statement during the Senate Judiciary Committee's confirmation hearing f… https://t.co/Hc5rmutNRn,Tue Sep 04 20:38:18 +0000 2018,60
60,@FoxNews,0.7003,0.0,0.775,0.225,".@CondoleezzaRice during Kavanaugh hearing: ""Brett is wise. He is an old soul who was made to help steady us in the… https://t.co/Q7QjV0FKNd",Tue Sep 04 20:29:12 +0000 2018,61
61,@FoxNews,0.0,0.0,1.0,0.0,The Senate Judiciary Committee holds confirmation hearing for Judge Brett Kavanaugh https://t.co/o5Ng52pzyi,Tue Sep 04 20:18:56 +0000 2018,62
62,@FoxNews,-0.4019,0.13,0.87,0.0,".@LindseyGrahamSC during Kavanaugh hearing: ""The antidote to our problems in this country when it comes to judges a… https://t.co/UV0hVzjZOD",Tue Sep 04 20:15:31 +0000 2018,63
63,@FoxNews,0.0,0.0,1.0,0.0,".@LindseyGrahamSC during Kavanaugh hearing: ""There's a process to find out what happened during the 2016 election.… https://t.co/QfChFDGx2B",Tue Sep 04 20:10:29 +0000 2018,64
64,@FoxNews,0.0,0.0,1.0,0.0,.@tracegallagher is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/Sb2cju6RMf https://t.co/kdT40ymoqu,Tue Sep 04 20:00:44 +0000 2018,65
65,@FoxNews,-0.4215,0.189,0.811,0.0,".@WhiteHouse fires back at @realBobWoodward book detailing infighting, insults, 'administrative coup d'etat' https://t.co/s7yM9w1d9B",Tue Sep 04 19:53:10 +0000 2018,66
66,@FoxNews,0.0,0.0,1.0,0.0,"RT @FoxNewsResearch: Chicago Under Rahm →

Shooting Incidents
2018: 1,645 (as of 9/2)
2017: 2,785
2016: 3,550 
2015: 2,426
2014: 2,083
2013…",Tue Sep 04 19:48:44 +0000 2018,67
67,@FoxNews,0.0,0.0,1.0,0.0,.@bigandrich member slams @Nike over Colin @Kaepernick7 ad https://t.co/7BQY3xkWGG,Tue Sep 04 19:31:34 +0000 2018,68
68,@FoxNews,-0.6249,0.338,0.662,0.0,"Actress @PiperPerabo arrested, thrown out of Kavanaugh hearing after launching protest https://t.co/6cSMPlH5Ng",Tue Sep 04 19:20:48 +0000 2018,69
69,@FoxNews,0.34,0.0,0.888,0.112,U.S. Ambassador to the @UN @NikkiHaley holds a press conference as the U.S. starts its presidency of the Security C… https://t.co/zJzxbO9bJj,Tue Sep 04 19:08:22 +0000 2018,70
70,@FoxNews,-0.1027,0.135,0.865,0.0,"RT @FoxBusiness: Pay is rising for these lower-wage jobs
https://t.co/hqEr0F6iXA",Tue Sep 04 19:06:00 +0000 2018,71
71,@FoxNews,0.0,0.0,1.0,0.0,"British broadcasters urge 'independent oversight' of Facebook, Google and Twitter via @christocarbone https://t.co/FQFZtA0JMj",Tue Sep 04 18:45:00 +0000 2018,72
72,@FoxNews,0.0,0.0,1.0,0.0,Geno DiFabio on @foxandfriends: “President Trump’s done more to have people have work than any president has done i… https://t.co/XB9lOulnjh,Tue Sep 04 18:40:00 +0000 2018,73
73,@FoxNews,0.0,0.0,1.0,0.0,.@michellemalkin on @foxandfriends: There are so many people across this country who feel very deeply that we shoul… https://t.co/qPGcvcqkJp,Tue Sep 04 18:30:00 +0000 2018,74
74,@FoxNews,-0.5106,0.35,0.65,0.0,"'A Charade and a Mockery': Democrats, Protesters Interrupt Kavanaugh Hearing https://t.co/VnPnoMbG1L",Tue Sep 04 18:20:00 +0000 2018,75
75,@FoxNews,-0.7184,0.25,0.75,0.0,"Sen. Cornyn Slams Dems for Interrupting Kavanaugh Hearing: If This Were a Court of Law, You'd Be 'Held in Contempt' https://t.co/Hu3yPXFFru",Tue Sep 04 18:10:00 +0000 2018,76
76,@FoxNews,0.0,0.0,1.0,0.0,Mercedes-Benz unveils Tesla-rivaling SUV https://t.co/FwpnWc3Yi7,Tue Sep 04 18:05:00 +0000 2018,77
